feature,overall_selection_count,overall_selection_frequency,lasso_logistic_selection_frequency,elastic_net_selection_frequency,linear_svm_selection_frequency,rbf_svm_selection_frequency,random_forest_selection_frequency,gradient_boosting_selection_frequency,mlp_small_selection_frequency,models_selecting_feature
COL1A2,18,0.05142857142857143,0.02,0.12,0.08,0.0,0.14,0.0,0.0,4
KRT5,18,0.05142857142857143,0.02,0.06,0.1,0.0,0.18,0.0,0.0,4
SCN1A,18,0.05142857142857143,0.04,0.08,0.1,0.0,0.14,0.0,0.0,4
TGFB3,18,0.05142857142857143,0.02,0.1,0.12,0.0,0.12,0.0,0.0,4
HMGCS1,16,0.045714285714285714,0.02,0.08,0.14,0.0,0.08,0.0,0.0,4
CCDC80,15,0.04285714285714286,0.02,0.08,0.08,0.0,0.12,0.0,0.0,4
CLDN1,13,0.037142857142857144,0.04,0.06,0.06,0.0,0.1,0.0,0.0,4
CD1C,11,0.03142857142857143,0.02,0.04,0.04,0.02,0.08,0.0,0.02,6
CD163,10,0.02857142857142857,0.02,0.04,0.02,0.0,0.12,0.0,0.0,4
GEM,10,0.02857142857142857,0.0,0.04,0.08,0.0,0.08,0.0,0.0,3
GPX8,9,0.025714285714285714,0.02,0.06,0.08,0.0,0.02,0.0,0.0,4
ZNF385B,9,0.025714285714285714,0.02,0.06,0.06,0.0,0.04,0.0,0.0,4
NRP2,9,0.025714285714285714,0.0,0.02,0.08,0.0,0.08,0.0,0.0,3
TMEM100,9,0.025714285714285714,0.0,0.06,0.06,0.0,0.06,0.0,0.0,3
NEK11,6,0.017142857142857144,0.02,0.02,0.04,0.0,0.04,0.0,0.0,4
INMT,6,0.017142857142857144,0.0,0.02,0.06,0.0,0.04,0.0,0.0,3
CTSK,4,0.011428571428571429,0.0,0.02,0.04,0.0,0.02,0.0,0.0,3
IL1RL1,3,0.008571428571428572,0.0,0.02,0.02,0.0,0.02,0.0,0.0,3
PFN2,3,0.008571428571428572,0.02,0.0,0.02,0.0,0.02,0.0,0.0,3
SFRP4,3,0.008571428571428572,0.0,0.02,0.02,0.0,0.02,0.0,0.0,3
SMAD6,3,0.008571428571428572,0.02,0.02,0.0,0.0,0.02,0.0,0.0,3
EPC1,2,0.005714285714285714,0.0,0.0,0.02,0.0,0.02,0.0,0.0,2
POSTN,2,0.005714285714285714,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2
ADM,1,0.002857142857142857,0.0,0.0,0.0,0.0,0.02,0.0,0.0,1
