series_id,data_type,dataset_role,method,comparison,feature_id,logFC,AveExpr,t,P.Value,adj.P.Val,B
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-1203_st,0.0931037554188679,0.348791147769231,2.01038249484863,0.0461067304175922,0.142677356498425,-4.90417402406149
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000200294_x_st,0.0519343941849055,0.311585784423077,2.00520905602145,0.0466629044234309,0.144150756203429,-4.9142594691801
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-486-5p_st,-0.592208612075473,3.63615532051282,-2.00203982272838,0.0470064226969064,0.144963300132069,-4.9204255960356
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000206958_st,0.077936862226415,0.345027422692308,2.00092107162759,0.0471281977511726,0.145090400256174,-4.9226000499683
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000212291_st,0.0608784299245282,0.411642950641026,1.99926669277922,0.0473087663426173,0.145397761404529,-4.925813458097
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,U36B_st,-0.0651863225660378,0.367865711538462,-1.99790223091572,0.0474581333829735,0.145608344502104,-4.92846184195808
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-1204_st,0.0769604678943394,0.214914178461538,1.99531237987741,0.0477427444316865,0.146153520349183,-4.93348394985672
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-133a_st,0.11569365954717,0.571102156410256,1.99416848245421,0.0478689131706112,0.146153520349183,-4.93570016760492
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,U73b_st,0.0627505738113207,0.364990036410256,1.99379102998301,0.0479106071675722,0.146153520349183,-4.936431189296
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-379_st,0.155860631622642,0.646091158974359,1.99334037271863,0.0479604278325194,0.146153520349183,-4.93730381637422
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-125b-2-star_st,-0.161012144566037,0.823972566025641,-1.99166623926401,0.0481458902472237,0.146470858674409,-4.94054387187094
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-424-star_st,-0.145568842358491,0.625722087884615,-1.98954042948802,0.0483822662039656,0.146941756211369,-4.94465435740559
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-768-5p_st,-0.412146956603774,6.11103882692308,-1.98696693003054,0.04866973836856,0.147565991248782,-4.94962491847447
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000207130_st,0.0577070029056602,0.232213030641026,1.98254857268567,0.049166666895868,0.148822129545308,-4.95814445214709
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000212162_st,0.059461725762264,0.273432378525641,1.97987524652602,0.0494694156146445,0.149487277721434,-4.96329044042686
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-136_st,0.0822228862075471,0.246839269038462,1.979122786475,0.0495549143821314,0.149494808713934,-4.96473768922122
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,U48_st,-0.210012930188679,1.90336650641026,-1.97699464645192,0.0497974034079761,0.149975122972851,-4.96882802924275
