stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore,gene_set,score_label,combined_score
9606.ENSP00000343129,9606.ENSP00000363071,TRIM29,DES,9606,0.715,0.0,0.0,0.0,0.056,0.0,0.0,0.711,robust_mrna_strict,medium_confidence,0.715
9606.ENSP00000225964,9606.ENSP00000376637,COL1A1,IGF1,9606,0.714,0.0,0.0,0.0,0.097,0.0,0.0,0.697,robust_mrna_strict,medium_confidence,0.714
9606.ENSP00000306410,9606.ENSP00000377197,ARMC4,HYDIN,9606,0.714,0.0,0.0,0.0,0.143,0.14,0.0,0.644,robust_mrna_strict,medium_confidence,0.714
9606.ENSP00000297268,9606.ENSP00000364694,COL1A2,ASPN,9606,0.714,0.0,0.0,0.0,0.261,0.091,0.0,0.609,robust_mrna_strict,medium_confidence,0.714
9606.ENSP00000225964,9606.ENSP00000364140,COL1A1,COL15A1,9606,0.713,0.0,0.0,0.116,0.339,0.0,0.4,0.279,robust_mrna_strict,medium_confidence,0.713
9606.ENSP00000284240,9606.ENSP00000323588,THY1,SOX2,9606,0.71,0.0,0.0,0.0,0.084,0.0,0.0,0.697,robust_mrna_strict,medium_confidence,0.71
9606.ENSP00000288710,9606.ENSP00000367815,DRC1,DNAAF1,9606,0.71,0.0,0.0,0.0,0.084,0.0,0.0,0.697,robust_mrna_strict,medium_confidence,0.71
9606.ENSP00000293761,9606.ENSP00000380442,ALOX15,PLA2G4F,9606,0.71,0.0,0.0,0.0,0.043,0.045,0.65,0.202,robust_mrna_strict,medium_confidence,0.71
9606.ENSP00000291536,9606.ENSP00000480538,RSPH1,DNAI1,9606,0.71,0.0,0.0,0.0,0.138,0.0,0.0,0.678,robust_mrna_strict,medium_confidence,0.71
9606.ENSP00000284240,9606.ENSP00000481841,THY1,CD24,9606,0.71,0.0,0.0,0.0,0.087,0.0,0.0,0.696,robust_mrna_strict,medium_confidence,0.71
9606.ENSP00000229554,9606.ENSP00000262442,RSPH4A,DNAH9,9606,0.71,0.0,0.0,0.0,0.268,0.0,0.0,0.619,robust_mrna_strict,medium_confidence,0.71
9606.ENSP00000294664,9606.ENSP00000312554,WDR63,DNAH12,9606,0.708,0.0,0.0,0.0,0.116,0.263,0.54,0.14,robust_mrna_strict,medium_confidence,0.708
9606.ENSP00000219299,9606.ENSP00000358575,CCDC113,CFAP206,9606,0.707,0.0,0.0,0.297,0.326,0.0,0.0,0.432,robust_mrna_strict,medium_confidence,0.707
9606.ENSP00000283357,9606.ENSP00000298032,FAM81B,ARMC3,9606,0.706,0.0,0.0,0.0,0.469,0.0,0.0,0.469,robust_mrna_strict,medium_confidence,0.706
9606.ENSP00000252242,9606.ENSP00000353608,KRT5,DSC3,9606,0.706,0.0,0.0,0.0,0.443,0.071,0.0,0.478,robust_mrna_strict,medium_confidence,0.706
9606.ENSP00000369071,9606.ENSP00000378517,POSTN,SPP1,9606,0.704,0.0,0.0,0.0,0.062,0.0,0.0,0.697,robust_mrna_strict,medium_confidence,0.704
9606.ENSP00000298032,9606.ENSP00000358965,ARMC3,C1ORF194,9606,0.703,0.0,0.0,0.0,0.502,0.429,0.0,0.0,robust_mrna_strict,medium_confidence,0.703
9606.ENSP00000356399,9606.ENSP00000378517,CFH,SPP1,9606,0.703,0.0,0.0,0.0,0.083,0.0,0.0,0.69,robust_mrna_strict,medium_confidence,0.703
9606.ENSP00000225964,9606.ENSP00000260302,COL1A1,MMP13,9606,0.702,0.0,0.0,0.0,0.099,0.05,0.0,0.68,robust_mrna_strict,medium_confidence,0.702
9606.ENSP00000291536,9606.ENSP00000306410,RSPH1,ARMC4,9606,0.702,0.0,0.0,0.0,0.067,0.128,0.0,0.663,robust_mrna_strict,medium_confidence,0.702
9606.ENSP00000297268,9606.ENSP00000364140,COL1A2,COL15A1,9606,0.702,0.0,0.0,0.143,0.31,0.0,0.4,0.258,robust_mrna_strict,medium_confidence,0.702
9606.ENSP00000297848,9606.ENSP00000304408,COL14A1,COL3A1,9606,0.701,0.0,0.0,0.134,0.27,0.0,0.4,0.306,robust_mrna_strict,medium_confidence,0.701
9606.ENSP00000261383,9606.ENSP00000312554,DNAH3,DNAH12,9606,0.701,0.0,0.015,0.0,0.193,0.0,0.54,0.261,robust_mrna_strict,medium_confidence,0.701
9606.ENSP00000293761,9606.ENSP00000312286,ALOX15,PLA2G1B,9606,0.701,0.0,0.0,0.0,0.0,0.0,0.65,0.181,robust_mrna_strict,medium_confidence,0.701
9606.ENSP00000362869,9606.ENSP00000366402,MORN5,C9ORF135,9606,0.7,0.0,0.0,0.0,0.205,0.0,0.0,0.639,robust_mrna_strict,medium_confidence,0.7
9606.ENSP00000286758,9606.ENSP00000294728,CXCL13,VCAM1,9606,0.7,0.0,0.0,0.0,0.222,0.0,0.0,0.63,robust_mrna_strict,medium_confidence,0.7
