series_id,group,broad_celltype,fine_celltype,gene_symbol,cells,mean_norm_count_per_10k,log1p_mean_norm,detected_cells,detection_fraction
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,PTGFRN,154,0.026572848036974534,0.026225922359636306,4,0.025974025974025976
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,SPP1,154,0.4356227576418671,0.3615987325213847,45,0.2922077922077922
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,TCF7L2,154,0.2256427391510267,0.2034653914188795,19,0.12337662337662338
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,TGFB1,154,3.6124518578787868,1.5287595719959242,131,0.8506493506493507
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,TGFBR1,154,0.6252446215523555,0.48565834079215403,62,0.4025974025974026
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,TGFBR2,154,0.8041715233222901,0.5901014965676136,64,0.4155844155844156
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,TNF,154,0.10809400887890375,0.10264143028448863,10,0.06493506493506493
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,TNFRSF12A,154,0.1396241890087252,0.1306985492927327,24,0.15584415584415584
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,TNFRSF1A,154,1.0068127612809803,0.6965477726275652,81,0.525974025974026
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,TNFSF12,154,0.5538974369129688,0.44076625035489464,55,0.35714285714285715
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,TNIK,154,0.2313477685267066,0.2081093162616947,22,0.14285714285714285
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,WNT5A,154,0.1439656605279167,0.13450087548603454,14,0.09090909090909091
GSE136831,IPF,Myeloid,Dendritic_MT-tRNAs,WNT7B,154,0.0,0.0,0,0.0
GSE136831,IPF,Endothelial,Vascular-Endothelial_E_MT-tRNAs,CCL2,102,4.601373412072207,1.723011819827461,44,0.43137254901960786
GSE136831,IPF,Endothelial,Vascular-Endothelial_E_MT-tRNAs,CCR2,102,0.007101717905561355,0.007076619464927979,1,0.00980392156862745
GSE136831,IPF,Endothelial,Vascular-Endothelial_E_MT-tRNAs,CD24,102,0.04227416818763345,0.04140502598450305,2,0.0196078431372549
GSE136831,IPF,Endothelial,Vascular-Endothelial_E_MT-tRNAs,CD44,102,0.1678553019211115,0.15516899139009843,12,0.11764705882352941
GSE136831,IPF,Endothelial,Vascular-Endothelial_E_MT-tRNAs,CD74,102,11.253757673569783,2.505832638815762,97,0.9509803921568627
GSE136831,IPF,Endothelial,Vascular-Endothelial_E_MT-tRNAs,CDH3,102,0.02749196404225951,0.02712084647422362,2,0.0196078431372549
GSE136831,IPF,Endothelial,Vascular-Endothelial_E_MT-tRNAs,COL14A1,102,0.03929216088992591,0.038539866901146656,5,0.049019607843137254
GSE136831,IPF,Endothelial,Vascular-Endothelial_E_MT-tRNAs,COL1A1,102,0.17009910011011295,0.15708844617155643,13,0.12745098039215685
GSE136831,IPF,Endothelial,Vascular-Endothelial_E_MT-tRNAs,COL3A1,102,0.07825225220753929,0.07534144530555312,6,0.058823529411764705
GSE136831,IPF,Endothelial,Vascular-Endothelial_E_MT-tRNAs,CTNNB1,102,3.0708606092230486,1.403854428999257,84,0.8235294117647058
GSE136831,IPF,Endothelial,Vascular-Endothelial_E_MT-tRNAs,CXCL12,102,0.24427742628432264,0.218554980936198,8,0.0784313725490196
GSE136831,IPF,Endothelial,Vascular-Endothelial_E_MT-tRNAs,CXCR4,102,0.1448520869806515,0.13527544698524466,11,0.10784313725490197
GSE136831,IPF,Endothelial,Vascular-Endothelial_E_MT-tRNAs,FZD1,102,0.013945810264958789,0.013849462187645652,2,0.0196078431372549
GSE136831,IPF,Endothelial,Vascular-Endothelial_E_MT-tRNAs,FZD2,102,0.0,0.0,0,0.0
GSE136831,IPF,Endothelial,Vascular-Endothelial_E_MT-tRNAs,FZD5,102,0.07879895234637381,0.07584834115428056,4,0.0392156862745098
GSE136831,IPF,Endothelial,Vascular-Endothelial_E_MT-tRNAs,IL1B,102,0.02740126675269111,0.027032572019601755,2,0.0196078431372549
GSE136831,IPF,Endothelial,Vascular-Endothelial_E_MT-tRNAs,IL1R1,102,4.681577824984384,1.737228980246448,72,0.7058823529411765
GSE136831,IPF,Endothelial,Vascular-Endothelial_E_MT-tRNAs,ITGA1,102,1.0893944474526878,0.7368742859336233,40,0.39215686274509803
GSE136831,IPF,Endothelial,Vascular-Endothelial_E_MT-tRNAs,ITGA2,102,2.493587269228851,1.2509290791560264,54,0.5294117647058824
GSE136831,IPF,Endothelial,Vascular-Endothelial_E_MT-tRNAs,ITGA4,102,0.028356447119557628,0.027961845376241055,2,0.0196078431372549
GSE136831,IPF,Endothelial,Vascular-Endothelial_E_MT-tRNAs,ITGAV,102,3.2002996580673697,1.4351558699031326,67,0.6568627450980392
GSE136831,IPF,Endothelial,Vascular-Endothelial_E_MT-tRNAs,ITGB1,102,2.4836992965796547,1.2480947454432065,79,0.7745098039215687
GSE136831,IPF,Endothelial,Vascular-Endothelial_E_MT-tRNAs,LEF1,102,0.2869815533946968,0.2522995954846172,16,0.1568627450980392
GSE136831,IPF,Endothelial,Vascular-Endothelial_E_MT-tRNAs,LRP6,102,0.3209837934280855,0.27837675705318615,23,0.22549019607843138
GSE136831,IPF,Endothelial,Vascular-Endothelial_E_MT-tRNAs,POSTN,102,8.718201804990995,2.274000601871309,85,0.8333333333333334
GSE136831,IPF,Endothelial,Vascular-Endothelial_E_MT-tRNAs,PTGFRN,102,0.07624515672628114,0.0734782766114954,5,0.049019607843137254
GSE136831,IPF,Endothelial,Vascular-Endothelial_E_MT-tRNAs,SPP1,102,1.0905428357162201,0.7374237622604813,41,0.4019607843137255
