sample_id,group,label,series_id,macrophage_myeloid_score,macrophage_myeloid_markers_found,t_cell_score,t_cell_markers_found,b_cell_score,b_cell_markers_found,fibroblast_matrix_score,fibroblast_matrix_markers_found,epithelial_ciliary_score,epithelial_ciliary_markers_found,endothelial_score,endothelial_markers_found,wnt_tnik_axis_score,wnt_tnik_axis_markers_found
GSM806359,IPF,1,GSE32537,-0.0625080306712492,11,0.06682889441424943,7,0.11357469574472553,4,1.0903952302893107,10,-0.1735940529686506,10,-0.16843170816641537,6,0.6634135981448215,9
GSM806361,IPF,1,GSE32537,-0.8633300097832262,11,-0.4590083933503943,7,-0.04370289140244438,4,0.2216381719049822,10,0.6667195133976518,10,-0.27287554850354473,6,-0.172981169385837,9
GSM806362,IPF,1,GSE32537,0.8069360237525808,11,-0.04125278073631655,7,-0.10648248192874538,4,0.6690721418874711,10,-0.15697562656456993,10,0.04649003062451614,6,0.28084244526474983,9
GSM806363,IPF,1,GSE32537,-0.19992706037667432,11,0.829880726162951,7,2.395263625691638,4,0.20374492544684503,10,-0.2428463868004692,10,-0.2299707760285108,6,-0.22849293065820772,9
GSM806364,IPF,1,GSE32537,0.6231024881277922,11,0.5364534668868479,7,1.175219696665042,4,0.16616831621590594,10,0.5579263120803624,10,-1.0158531572855076,6,0.06789702548872895,9
GSM806365,IPF,1,GSE32537,0.4977183225834818,11,0.26825844456331105,7,-0.5811280355224495,4,-0.7320390683051845,10,-0.0553090916427539,10,0.8947270191383351,6,-0.514981747384176,9
GSM806366,IPF,1,GSE32537,-0.4392476834557167,11,-0.6989093620292558,7,0.43723412354365,4,0.4910287370631184,10,1.0083478215413915,10,-0.749055187755741,6,-0.49357542047308683,9
GSM806368,IPF,1,GSE32537,-1.2852640401279507,11,-0.2789242691920788,7,0.19534184934641294,4,0.20346312562997154,10,0.9198593950340547,10,-0.8852155464604471,6,-0.5517000301560988,9
GSM806369,IPF,1,GSE32537,0.7740943542067406,11,0.11905520258322544,7,-0.8070686492214365,4,-0.12069975674382658,10,0.13295656914975323,10,-0.2747008629532161,6,-0.2617661147792906,9
GSM806370,IPF,1,GSE32537,-0.2606595358107788,11,0.9942834446228719,7,2.746645654483431,4,0.7792985720816262,10,-0.5243629480618704,10,0.027613823210759073,6,-0.1098003939719647,9
GSM806371,Control,0,GSE32537,0.6007579205356387,11,-0.1267145042221531,7,-0.6091689457131542,4,-1.7414183076406562,10,-1.0342232131770508,10,0.09424559962773209,6,0.7635651112931305,9
GSM806372,Control,0,GSE32537,1.0576482127660887,11,0.38313182441770594,7,-0.565088799277928,4,-1.1549785246751139,10,-0.7426024377970026,10,0.6865913862933214,6,0.5053585544291791,9
