data_type,standard_feature_id,GSE32537_logFC,GSE32537_adj_p,GSE32537_direction,GSE32537_fdr_sig,GSE110147_logFC,GSE110147_adj_p,GSE110147_direction,GSE110147_fdr_sig,GSE150910_logFC,GSE150910_adj_p,GSE150910_direction,GSE150910_fdr_sig,GSE53845_logFC,GSE53845_adj_p,GSE53845_direction,GSE53845_fdr_sig,GSE92592_logFC,GSE92592_adj_p,GSE92592_direction,GSE92592_fdr_sig,validation_datasets_present,same_direction_validation_count,same_direction_fdr_sig_count,robust_strict,robust_relaxed,GSE32538_logFC,GSE32538_adj_p,GSE32538_direction,GSE32538_fdr_sig,GSE21394_logFC,GSE21394_adj_p,GSE21394_direction,GSE21394_fdr_sig,GSE27430_logFC,GSE27430_adj_p,GSE27430_direction,GSE27430_fdr_sig
bulk mRNA,CCDC39,1.12234561344538,1.10785299495122e-11,up,True,2.21627409090909,2.67962526955911e-07,up,True,0.421894510355624,0.0012219150435086,up,False,0.371625,0.252666903175623,up,False,0.41992986828529,0.202476835248197,up,False,4,4,1,False,False,,,,,,,,,,,,
bulk mRNA,CCDC60,1.09820542689076,1.6165832802905898e-11,up,True,0.580302727272728,0.07883200477717,up,False,1.83557855841003,7.73139878317545e-10,up,True,0.0190749999999998,0.862140100196968,up,False,1.53964592997348,0.0075304922258239,up,True,4,4,2,True,True,,,,,,,,,,,,
bulk mRNA,CCDC80,1.68951806386555,2.4020032452543502e-20,up,True,1.98401318181818,5.78540222223402e-10,up,True,1.82438621363258,2.3254855744041e-19,up,True,1.1923575,0.0002199184489957,up,True,2.07191066053809,3.33787165141859e-05,up,True,4,4,4,True,True,,,,,,,,,,,,
bulk mRNA,CCL13,1.07051270420168,6.72245139022769e-22,up,True,0.643510454545455,0.0040102827352295,up,False,1.98323191674169,2.24144900695789e-06,up,True,1.2923975,0.0030418205598934,up,True,2.26127209837724,1.67454793364739e-07,up,True,4,4,3,True,True,,,,,,,,,,,,
bulk mRNA,CCL18,1.20803147394958,1.39167041431842e-13,up,True,-0.276472727272727,0.188495425496954,down,False,1.21450691098755,9.59011534216564e-07,up,True,0.299300000000001,0.0635200801850362,up,False,1.36991632919706,0.0051973018073857,up,True,4,3,2,True,True,,,,,,,,,,,,
bulk mRNA,CD163,-1.34539427563025,4.10431146057388e-21,down,True,3.14663454545455,1.21136382723983e-18,up,True,0.0352664755994967,0.870105653256738,up,False,-1.23942,0.0001497409433312,down,True,1.01774160233511,0.0041593143477288,up,True,4,1,1,False,False,,,,,,,,,,,,
bulk mRNA,CD1C,1.16047115462185,2.05958704387408e-20,up,True,-0.443383636363637,0.0154340465340971,down,False,0.632227475732279,0.0117996183725629,up,False,1.3272475,7.31006334609167e-06,up,True,-0.542081330550476,0.0085800495112973,down,False,4,2,1,False,False,,,,,,,,,,,,
bulk mRNA,CD24,2.12442620840336,1.0980246443678e-31,up,True,1.49509590909091,4.8205116407859e-08,up,True,1.43102040283555,1.09866070019169e-12,up,True,2.3342975,1.23061764975433e-10,up,True,1.57644737154458,1.64098513279377e-06,up,True,4,4,4,True,True,,,,,,,,,,,,
bulk mRNA,CD274,-1.17300689915967,7.711374598309281e-15,down,True,0.212888181818183,0.387994326578128,up,False,-0.683737101210306,3.44271134896048e-05,down,False,-0.74928,0.0542117603056455,down,False,-0.957521022601783,0.0012516582414439,down,False,4,3,0,False,False,,,,,,,,,,,,
bulk mRNA,CDH2,1.27819726386555,2.7680820186093e-25,up,True,1.54820772727273,1.47460366520552e-11,up,True,2.19664994335194,4.56228671725667e-19,up,True,1.351365,3.50878540317062e-05,up,True,2.52852625979859,6.01663745687861e-07,up,True,4,4,4,True,True,,,,,,,,,,,,
bulk mRNA,CDH3,1.65436129579832,1.50615627213008e-34,up,True,1.46176590909091,5.09905396423487e-12,up,True,2.90302950390379,3.4796218728763094e-40,up,True,2.2810275,9.5515110554089e-12,up,True,3.08049849000572,2.30983542793858e-14,up,True,4,4,4,True,True,,,,,,,,,,,,
bulk mRNA,CDHR3,2.33972522521009,1.56917670513253e-17,up,True,1.39306772727273,0.0080883222356895,up,True,1.4342006391357,1.12182462345634e-08,up,True,0.791475000000001,0.287362085167319,up,False,0.996301805129103,0.0334498666917047,up,False,4,4,2,True,True,,,,,,,,,,,,
bulk mRNA,CERKL,1.09796051428572,1.94513065015478e-12,up,True,1.11323090909091,0.0024738886558556,up,True,0.740818331459218,0.0031585086888866,up,False,,,missing,False,0.415507417849522,0.102636519594335,up,False,3,3,1,False,False,,,,,,,,,,,,
bulk mRNA,CFH,1.15910980336135,3.03447352362242e-31,up,True,2.72273454545455,4.43211616168368e-19,up,True,1.32598635728844,1.26076548420144e-37,up,True,1.2937575,1.59372886031519e-07,up,True,1.82111993870298,7.661968744504981e-10,up,True,4,4,4,True,True,,,,,,,,,,,,
bulk mRNA,CHDC2,1.78265397815126,2.45992381348857e-13,up,True,1.86173318181818,0.000984011288374,up,True,,,missing,False,,,missing,False,,,missing,False,1,1,1,False,False,,,,,,,,,,,,
bulk mRNA,CHI3L2,-1.36577180672269,9.26123379567777e-18,down,True,-0.989522272727273,0.0002599924473334,down,False,-0.878847338832054,6.55390342768761e-06,down,False,-0.8477575,0.0782551777232843,down,False,-0.644078042669152,0.143007702804109,down,False,4,4,0,False,False,,,,,,,,,,,,
bulk mRNA,CHST9,1.45305389243698,1.52095943912624e-14,up,True,1.80865863636364,0.0012120119081009,up,True,2.66531866043791,7.13878880664691e-10,up,True,0.834492500000001,0.155886489575817,up,False,2.02155675377869,0.0175626524608657,up,True,4,4,3,True,True,,,,,,,,,,,,
bulk mRNA,CLCA2,1.20730204369748,2.35256291561183e-10,up,True,2.19081636363636,2.7283782974625e-07,up,True,,,missing,False,0.5933925,0.0969199892519036,up,False,4.28551433131739,1.7018284421252e-05,up,True,3,3,2,True,True,,,,,,,,,,,,
bulk mRNA,CLDN1,1.51826676470589,9.19195196331401e-21,up,True,1.19418,0.0001714081948674,up,True,2.30974370612427,3.98196811767204e-13,up,True,2.335575,7.9129114243211e-09,up,True,1.4169721173734,3.23530863539845e-05,up,True,4,4,4,True,True,,,,,,,,,,,,
