series_id,sample_accession,sample_id,data_type,original_disease_label,included_excluded,final_analysis_label,reason_for_exclusion_or_inclusion,source_field_used_for_annotation,annotation_file,annotation_sheet
GSE150910,GSM4560505,chp_1,bulk mRNA,group=Exclude | subgroup=chp | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=chp,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE150910\matrix\GSE150910_series_matrix.xlsx,annotation_analysis
GSE150910,GSM4560506,chp_2,bulk mRNA,group=Exclude | subgroup=chp | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=chp,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE150910\matrix\GSE150910_series_matrix.xlsx,annotation_analysis
GSE150910,GSM4560507,chp_3,bulk mRNA,group=Exclude | subgroup=chp | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=chp,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE150910\matrix\GSE150910_series_matrix.xlsx,annotation_analysis
GSE150910,GSM4560508,chp_4,bulk mRNA,group=Exclude | subgroup=chp | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=chp,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE150910\matrix\GSE150910_series_matrix.xlsx,annotation_analysis
GSE150910,GSM4560509,chp_5,bulk mRNA,group=Exclude | subgroup=chp | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=chp,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE150910\matrix\GSE150910_series_matrix.xlsx,annotation_analysis
GSE150910,GSM4560510,chp_6,bulk mRNA,group=Exclude | subgroup=chp | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=chp,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE150910\matrix\GSE150910_series_matrix.xlsx,annotation_analysis
GSE150910,GSM4560511,chp_7,bulk mRNA,group=Exclude | subgroup=chp | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=chp,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE150910\matrix\GSE150910_series_matrix.xlsx,annotation_analysis
GSE150910,GSM4560512,chp_8,bulk mRNA,group=Exclude | subgroup=chp | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=chp,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE150910\matrix\GSE150910_series_matrix.xlsx,annotation_analysis
GSE150910,GSM4560513,chp_9,bulk mRNA,group=Exclude | subgroup=chp | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=chp,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE150910\matrix\GSE150910_series_matrix.xlsx,annotation_analysis
GSE150910,GSM4560514,chp_10,bulk mRNA,group=Exclude | subgroup=chp | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=chp,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE150910\matrix\GSE150910_series_matrix.xlsx,annotation_analysis
GSE150910,GSM4560515,chp_11,bulk mRNA,group=Exclude | subgroup=chp | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=chp,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE150910\matrix\GSE150910_series_matrix.xlsx,annotation_analysis
GSE150910,GSM4560516,chp_12,bulk mRNA,group=Exclude | subgroup=chp | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=chp,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE150910\matrix\GSE150910_series_matrix.xlsx,annotation_analysis
GSE150910,GSM4560517,chp_13,bulk mRNA,group=Exclude | subgroup=chp | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=chp,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE150910\matrix\GSE150910_series_matrix.xlsx,annotation_analysis
GSE150910,GSM4560518,chp_14,bulk mRNA,group=Exclude | subgroup=chp | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=chp,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE150910\matrix\GSE150910_series_matrix.xlsx,annotation_analysis
GSE150910,GSM4560519,chp_15,bulk mRNA,group=Exclude | subgroup=chp | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=chp,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE150910\matrix\GSE150910_series_matrix.xlsx,annotation_analysis
GSE150910,GSM4560520,chp_16,bulk mRNA,group=Exclude | subgroup=chp | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=chp,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE150910\matrix\GSE150910_series_matrix.xlsx,annotation_analysis
GSE150910,GSM4560521,chp_17,bulk mRNA,group=Exclude | subgroup=chp | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=chp,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE150910\matrix\GSE150910_series_matrix.xlsx,annotation_analysis
GSE150910,GSM4560522,chp_18,bulk mRNA,group=Exclude | subgroup=chp | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=chp,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE150910\matrix\GSE150910_series_matrix.xlsx,annotation_analysis
GSE150910,GSM4560523,chp_19,bulk mRNA,group=Exclude | subgroup=chp | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=chp,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE150910\matrix\GSE150910_series_matrix.xlsx,annotation_analysis
GSE150910,GSM4560524,chp_20,bulk mRNA,group=Exclude | subgroup=chp | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=chp,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE150910\matrix\GSE150910_series_matrix.xlsx,annotation_analysis
GSE150910,GSM4560525,chp_21,bulk mRNA,group=Exclude | subgroup=chp | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=chp,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE150910\matrix\GSE150910_series_matrix.xlsx,annotation_analysis
GSE150910,GSM4560526,chp_22,bulk mRNA,group=Exclude | subgroup=chp | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=chp,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE150910\matrix\GSE150910_series_matrix.xlsx,annotation_analysis
GSE150910,GSM4560527,chp_23,bulk mRNA,group=Exclude | subgroup=chp | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=chp,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE150910\matrix\GSE150910_series_matrix.xlsx,annotation_analysis
GSE150910,GSM4560528,chp_24,bulk mRNA,group=Exclude | subgroup=chp | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=chp,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE150910\matrix\GSE150910_series_matrix.xlsx,annotation_analysis
GSE150910,GSM4560529,chp_25,bulk mRNA,group=Exclude | subgroup=chp | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=chp,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE150910\matrix\GSE150910_series_matrix.xlsx,annotation_analysis
GSE150910,GSM4560530,chp_26,bulk mRNA,group=Exclude | subgroup=chp | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=chp,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE150910\matrix\GSE150910_series_matrix.xlsx,annotation_analysis
